5_2:

Nabrzeze	Nazwa_statku	Ladownosc
REMONTOWE	KURPIE	24109
REMONTOWE	MAZURY	24109
REMONTOWE	PODLASIE	24109
REMONTOWE	ROZTOCZE	24109
REMSTAT	SERVAL	275
REMSTAT	VT NEUTRON	275
ROSYJSKIE	ROMY TRADER	5941
RUMUNSKIE	SCOT BAYERN	5145
RUMUNSKIE	SCOT BERLIN	5145
RUMUNSKIE	SCOT LEIPZIG	5145
RUMUNSKIE	SCOT MUNCHEN	5145
SLOWACKIE	TRADE VISION	45259
SNOP N	DONAU	5887
SNOP N	FRISIAN OCEAN	5887
SNOP N	FRISIANA	5887
SNOP N	MERIDIAAN	5887
SNOP S	MARIT	6046
SNOP S	MYRTE	6046
SPOLDZIELCZE	SCORPIUS	7636
STAROWKA	SEDOV	3432
WALBRZYSKIE	POLA ANATOLIA	6266
WALBRZYSKIE	POLA ANFISA	6266
WARSZAWSKIE	VIKING	332
WARSZTATOWE	FAIRPLAY 27	499
WARSZTATOWE	NEPTUNE MARINER	499
WEGIERSKIE	OCEAN FORTUNE	6479
WROCLAWSKIE	DANUBE HIGHWAY	23498
WROCLAWSKIE	ELBE HIGHWAY	23498
WROCLAWSKIE	SEINE HIGHWAY	23498
WROCLAWSKIE	THAMES HIGHWAY	23498
WULKAN N	ADHEMAR DE SAINT-VENANT	7531
WULKAN POCHYLNIA	CARRIER 7	2601
WULKAN POCHYLNIA	FRI SEA	2601
WULKAN S	ALESIA	4723
WULKAN S	ARKLOW BRIDGE	4723
WULKAN S	ARKLOW BROOK	4723
WULKAN S	BELIZIA	4723
WULKAN S	CECILIA	4723
WULKAN S	DAMINA	4723
ZBOZOWE	ATHINA CARRAS	44190
